title,authors,paper_link,supplementary_link,arxiv_link
ERMVP: Communication-Efficient and Collaboration-Robust Multi-Vehicle Perception in Challenging Environments,"Jingyu Zhang,



Kun Yang,



Yilei Wang,



Hanqi Wang,



Peng Sun,



Liang Song",,,
DiffMorpher: Unleashing the Capability of Diffusion Models for Image Morphing,"Kaiwen Zhang,



Yifan Zhou,



Xudong Xu,



Bo Dai,



Xingang Pan",,,
Towards Real-World HDR Video Reconstruction: A Large-Scale Benchmark Dataset and A Two-Stage Alignment Network,"Yong Shu,



Liquan Shen,



Xiangyu Hu,



Mengyao Li,



Zihao Zhou",,,
Efficient 3D Implicit Head Avatar with Mesh-anchored Hash Table Blendshapes,"Ziqian Bai,



Feitong Tan,



Sean Fanello,



Rohit Pandey,



Mingsong Dou,



Shichen Liu,



Ping Tan,



Yinda Zhang",,,
PikeLPN: Mitigating Overlooked Inefficiencies of Low-Precision Neural Networks,"Marina Neseem,



Conor McCullough,



Randy Hsin,



Chas Leichner,



Shan Li,



In Suk Chong,



Andrew Howard,



Lukasz Lew,



Sherief Reda,



Ville-Mikko Rautio,



Daniele Moro",,,
CurveCloudNet: Processing Point Clouds with 1D Structure,"Colton Stearns,



Alex Fu,



Jiateng Liu,



Jeong Joon Park,



Davis Rempe,



Despoina Paschalidou,



Leonidas J. Guibas",,,
CAGE: Controllable Articulation GEneration,"Jiayi Liu,



Hou In Ivan Tam,



Ali Mahdavi-Amiri,



Manolis Savva",,,
No Time to Train: Empowering Non-Parametric Networks for Few-shot 3D Scene Segmentation,"Xiangyang Zhu,



Renrui Zhang,



Bowei He,



Ziyu Guo,



Jiaming Liu,



Han Xiao,



Chaoyou Fu,



Hao Dong,



Peng Gao",,,
PhysGaussian: Physics-Integrated 3D Gaussians for Generative Dynamics,"Tianyi Xie,



Zeshun Zong,



Yuxing Qiu,



Xuan Li,



Yutao Feng,



Yin Yang,



Chenfanfu Jiang",,,
Spatio-Temporal Turbulence Mitigation: A Translational Perspective,"Xingguang Zhang,



Nicholas Chimitt,



Yiheng Chi,



Zhiyuan Mao,



Stanley H. Chan",,,
FocusMAE: Gallbladder Cancer Detection from Ultrasound Videos with Focused Masked Autoencoders,"Soumen Basu,



Mayuna Gupta,



Chetan Madan,



Pankaj Gupta,



Chetan Arora",,,
Grounded Text-to-Image Synthesis with Attention Refocusing,"Quynh Phung,



Songwei Ge,



Jia-Bin Huang",,,
OpenStreetView-5M: The Many Roads to Global Visual Geolocation,"Guillaume Astruc,



Nicolas Dufour,



Ioannis Siglidis,



Constantin Aronssohn,



Nacim Bouia,



Stephanie Fu,



Romain Loiseau,



Van Nguyen Nguyen,



Charles Raude,



Elliot Vincent,



Lintao Xu,



Hongyu Zhou,



Loic Landrieu",,,
Visual Concept Connectome (VCC): Open World Concept Discovery and their Interlayer Connections in Deep Models,"Matthew Kowal,



Richard P. Wildes,



Konstantinos G. Derpanis",,,
IReNe: Instant Recoloring of Neural Radiance Fields,"Alessio Mazzucchelli,



Adrian Garcia-Garcia,



Elena Garces,



Fernando Rivas-Manzaneque,



Francesc Moreno-Noguer,



Adrian Penate-Sanchez",,,
Class Tokens Infusion for Weakly Supervised Semantic Segmentation,"Sung-Hoon Yoon,



Hoyong Kwon,



Hyeonseong Kim,



Kuk-Jin Yoon",,,
FedHCA2: Towards Hetero-Client Federated Multi-Task Learning,"Yuxiang Lu,



Suizhi Huang,



Yuwen Yang,



Shalayiding Sirejiding,



Yue Ding,



Hongtao Lu",,,
Text-IF: Leveraging Semantic Text Guidance for Degradation-Aware and Interactive Image Fusion,"Xunpeng Yi,



Han Xu,



Hao Zhang,



Linfeng Tang,



Jiayi Ma",,,
GRAM: Global Reasoning for Multi-Page VQA,"Tsachi Blau,



Sharon Fogel,



Roi Ronen,



Alona Golts,



Roy Ganz,



Elad Ben Avraham,



Aviad Aberdam,



Shahar Tsiper,



Ron Litman",,,
MS-DETR: Efficient DETR Training with Mixed Supervision,"Chuyang Zhao,



Yifan Sun,



Wenhao Wang,



Qiang Chen,



Errui Ding,



Yi Yang,



Jingdong Wang",,,
Learning to Produce Semi-dense Correspondences for Visual Localization,"Khang Truong Giang,



Soohwan Song,



Sungho Jo",,,
Amodal Ground Truth and Completion in the Wild,"Guanqi Zhan,



Chuanxia Zheng,



Weidi Xie,



Andrew Zisserman",,,
Motion Diversification Networks,"Hee Jae Kim,



Eshed Ohn-Bar",,,
Telling Left from Right: Identifying Geometry-Aware Semantic Correspondence,"Junyi Zhang,



Charles Herrmann,



Junhwa Hur,



Eric Chen,



Varun Jampani,



Deqing Sun,



Ming-Hsuan Yang",,,
NECA: Neural Customizable Human Avatar,"Junjin Xiao,



Qing Zhang,



Zhan Xu,



Wei-Shi Zheng",,,
BEVSpread: Spread Voxel Pooling for Bird's-Eye-View Representation in Vision-based Roadside 3D Object Detection,"Wenjie Wang,



Yehao Lu,



Guangcong Zheng,



Shuigen Zhan,



Xiaoqing Ye,



Zichang Tan,



Jingdong Wang,



Gaoang Wang,



Xi Li",,,
Real-IAD: A Real-World Multi-View Dataset for Benchmarking Versatile Industrial Anomaly Detection,"Chengjie Wang,



Wenbing Zhu,



Bin-Bin Gao,



Zhenye Gan,



Jiangning Zhang,



Zhihao Gu,



Shuguang Qian,



Mingang Chen,



Lizhuang Ma",,,
PAIR Diffusion: A Comprehensive Multimodal Object-Level Image Editor,"Vidit Goel,



Elia Peruzzo,



Yifan Jiang,



Dejia Xu,



Xingqian Xu,



Nicu Sebe,



Trevor Darrell,



Zhangyang Wang,



Humphrey Shi",,,
Boosting Adversarial Transferability by Block Shuffle and Rotation,"Kunyu Wang,



Xuanran He,



Wenxuan Wang,



Xiaosen Wang",,,
DriveWorld: 4D Pre-trained Scene Understanding via World Models for Autonomous Driving,"Chen Min,



Dawei Zhao,



Liang Xiao,



Jian Zhao,



Xinli Xu,



Zheng Zhu,



Lei Jin,



Jianshu Li,



Yulan Guo,



Junliang Xing,



Liping Jing,



Yiming Nie,



Bin Dai",,,
Bridging the Gap Between End-to-End and Two-Step Text Spotting,"Mingxin Huang,



Hongliang Li,



Yuliang Liu,



Xiang Bai,



Lianwen Jin",,,
TokenCompose: Text-to-Image Diffusion with Token-level Supervision,"Zirui Wang,



Zhizhou Sha,



Zheng Ding,



Yilin Wang,



Zhuowen Tu",,,
SUGAR: Pre-training 3D Visual Representations for Robotics,"Shizhe Chen,



Ricardo Garcia,



Ivan Laptev,



Cordelia Schmid",,,
LidaRF: Delving into Lidar for Neural Radiance Field on Street Scenes,"Shanlin Sun,



Bingbing Zhuang,



Ziyu Jiang,



Buyu Liu,



Xiaohui Xie,



Manmohan Chandraker",,,
PairAug: What Can Augmented Image-Text Pairs Do for Radiology?,"Yutong Xie,



Qi Chen,



Sinuo Wang,



Minh-Son To,



Iris Lee,



Ee Win Khoo,



Kerolos Hendy,



Daniel Koh,



Yong Xia,



Qi Wu",,,
FINER: Flexible Spectral-bias Tuning in Implicit NEural Representation by Variable-periodic Activation Functions,"Zhen Liu,



Hao Zhu,



Qi Zhang,



Jingde Fu,



Weibing Deng,



Zhan Ma,



Yanwen Guo,



Xun Cao",,,
Harnessing Large Language Models for Training-free Video Anomaly Detection,"Luca Zanella,



Willi Menapace,



Massimiliano Mancini,



Yiming Wang,



Elisa Ricci",,,
TextCraftor: Your Text Encoder Can be Image Quality Controller,"Yanyu Li,



Xian Liu,



Anil Kag,



Ju Hu,



Yerlan Idelbayev,



Dhritiman Sagar,



Yanzhi Wang,



Sergey Tulyakov,



Jian Ren",,,
FineParser: A Fine-grained Spatio-temporal Action Parser for Human-centric Action Quality Assessment,"Jinglin Xu,



Sibo Yin,



Guohao Zhao,



Zishuo Wang,



Yuxin Peng",,,
Video Recognition in Portrait Mode,"Mingfei Han,



Linjie Yang,



Xiaojie Jin,



Jiashi Feng,



Xiaojun Chang,



Heng Wang",,,
Selective Hourglass Mapping for Universal Image Restoration Based on Diffusion Model,"Dian Zheng,



Xiao-Ming Wu,



Shuzhou Yang,



Jian Zhang,



Jian-Fang Hu,



Wei-Shi Zheng",,,
Language Models as Black-Box Optimizers for Vision-Language Models,"Shihong Liu,



Samuel Yu,



Zhiqiu Lin,



Deepak Pathak,



Deva Ramanan",,,
Exploring Orthogonality in Open World Object Detection,"Zhicheng Sun,



Jinghan Li,



Yadong Mu",,,
Mitigating Object Hallucinations in Large Vision-Language Models through Visual Contrastive Decoding,"Sicong Leng,



Hang Zhang,



Guanzheng Chen,



Xin Li,



Shijian Lu,



Chunyan Miao,



Lidong Bing",,,
IMPRINT: Generative Object Compositing by Learning Identity-Preserving Representation,"Yizhi Song,



Zhifei Zhang,



Zhe Lin,



Scott Cohen,



Brian Price,



Jianming Zhang,



Soo Ye Kim,



He Zhang,



Wei Xiong,



Daniel Aliaga",,,
Audio-Visual Segmentation via Unlabeled Frame Exploitation,"Jinxiang Liu,



Yikun Liu,



Fei Zhang,



Chen Ju,



Ya Zhang,



Yanfeng Wang",,,
DriveTrack: A Benchmark for Long-Range Point Tracking in Real-World Videos,"Arjun Balasingam,



Joseph Chandler,



Chenning Li,



Zhoutong Zhang,



Hari Balakrishnan",,,
Infrared Adversarial Car Stickers,"Xiaopei Zhu,



Yuqiu Liu,



Zhanhao Hu,



Jianmin Li,



Xiaolin Hu",,,
Sculpt3D: Multi-View Consistent Text-to-3D Generation with Sparse 3D Prior,"Cheng Chen,



Xiaofeng Yang,



Fan Yang,



Chengzeng Feng,



Zhoujie Fu,



Chuan-Sheng Foo,



Guosheng Lin,



Fayao Liu",,,
FreeMan: Towards Benchmarking 3D Human Pose Estimation under Real-World Conditions,"Jiong Wang,



Fengyu Yang,



Bingliang Li,



Wenbo Gou,



Danqi Yan,



Ailing Zeng,



Yijun Gao,



Junle Wang,



Yanqing Jing,



Ruimao Zhang",,,
ScanFormer: Referring Expression Comprehension by Iteratively Scanning,"Wei Su,



Peihan Miao,



Huanzhang Dou,



Xi Li",,,
Model Inversion Robustness: Can Transfer Learning Help?,"Sy-Tuyen Ho,



Koh Jun Hao,



Keshigeyan Chandrasegaran,



Ngoc-Bao Nguyen,



Ngai-Man Cheung",,,
Portrait4D: Learning One-Shot 4D Head Avatar Synthesis using Synthetic Data,"Yu Deng,



Duomin Wang,



Xiaohang Ren,



Xingyu Chen,



Baoyuan Wang",,,
GP-NeRF: Generalized Perception NeRF for Context-Aware 3D Scene Understanding,"Hao Li,



Dingwen Zhang,



Yalun Dai,



Nian Liu,



Lechao Cheng,



Jingfeng Li,



Jingdong Wang,



Junwei Han",,,
Polarization Wavefront Lidar: Learning Large Scene Reconstruction from Polarized Wavefronts,"Dominik Scheuble,



Chenyang Lei,



Seung-Hwan Baek,



Mario Bijelic,



Felix Heide",,,
GDA: Generalized Diffusion for Robust Test-time Adaptation,"Yun-Yun Tsai,



Fu-Chen Chen,



Albert Y. C. Chen,



Junfeng Yang,



Che-Chun Su,



Min Sun,



Cheng-Hao Kuo",,,
ConvoFusion: Multi-Modal Conversational Diffusion for Co-Speech Gesture Synthesis,"Muhammad Hamza Mughal,



Rishabh Dabral,



Ikhsanul Habibie,



Lucia Donatelli,



Marc Habermann,



Christian Theobalt",,,
RLHF-V: Towards Trustworthy MLLMs via Behavior Alignment from Fine-grained Correctional Human Feedback,"Tianyu Yu,



Yuan Yao,



Haoye Zhang,



Taiwen He,



Yifeng Han,



Ganqu Cui,



Jinyi Hu,



Zhiyuan Liu,



Hai-Tao Zheng,



Maosong Sun,



Tat-Seng Chua",,,
ZeroShape: Regression-based Zero-shot Shape Reconstruction,"Zixuan Huang,



Stefan Stojanov,



Anh Thai,



Varun Jampani,



James M. Rehg",,,
Continual-MAE: Adaptive Distribution Masked Autoencoders for Continual Test-Time Adaptation,"Jiaming Liu,



Ran Xu,



Senqiao Yang,



Renrui Zhang,



Qizhe Zhang,



Zehui Chen,



Yandong Guo,



Shanghang Zhang",,,
The STVchrono Dataset: Towards Continuous Change Recognition in Time,"Yanjun Sun,



Yue Qiu,



Mariia Khan,



Fumiya Matsuzawa,



Kenji Iwata",,,
SocialCircle: Learning the Angle-based Social Interaction Representation for Pedestrian Trajectory Prediction,"Conghao Wong,



Beihao Xia,



Ziqian Zou,



Yulong Wang,



Xinge You",,,
Boosting Neural Representations for Videos with a Conditional Decoder,"Xinjie Zhang,



Ren Yang,



Dailan He,



Xingtong Ge,



Tongda Xu,



Yan Wang,



Hongwei Qin,



Jun Zhang",,,
Dual-Enhanced Coreset Selection with Class-wise Collaboration for Online Blurry Class Incremental Learning,"Yutian Luo,



Shiqi Zhao,



Haoran Wu,



Zhiwu Lu",,,
From Audio to Photoreal Embodiment: Synthesizing Humans in Conversations,"Evonne Ng,



Javier Romero,



Timur Bagautdinov,



Shaojie Bai,



Trevor Darrell,



Angjoo Kanazawa,



Alexander Richard",,,
Single-View Scene Point Cloud Human Grasp Generation,"Yan-Kang Wang,



Chengyi Xing,



Yi-Lin Wei,



Xiao-Ming Wu,



Wei-Shi Zheng",,,
One-step Diffusion with Distribution Matching Distillation,"Tianwei Yin,



Michaël Gharbi,



Richard Zhang,



Eli Shechtman,



Frédo Durand,



William T. Freeman,



Taesung Park",,,
Cyclic Learning for Binaural Audio Generation and Localization,"Zhaojian Li,



Bin Zhao,



Yuan Yuan",,,
Neighbor Relations Matter in Video Scene Detection,"Jiawei Tan,



Hongxing Wang,



Jiaxin Li,



Zhilong Ou,



Zhangbin Qian",,,
Rethinking Human Motion Prediction with Symplectic Integral,"Haipeng Chen,



Kedi Lyu,



Zhenguang Liu,



Yifang Yin,



Xun Yang,



Yingda Lyu",,,
Text-to-Image Diffusion Models are Great Sketch-Photo Matchmakers,"Subhadeep Koley,



Ayan Kumar Bhunia,



Aneeshan Sain,



Pinaki Nath Chowdhury,



Tao Xiang,



Yi-Zhe Song",,,
Mudslide: A Universal Nuclear Instance Segmentation Method,Jun Wang,,,
CPGA: Coding Priors-Guided Aggregation Network for Compressed Video Quality Enhancement,"Qiang Zhu,



Jinhua Hao,



Yukang Ding,



Yu Liu,



Qiao Mo,



Ming Sun,



Chao Zhou,



Shuyuan Zhu",,,
MicroCinema: A Divide-and-Conquer Approach for Text-to-Video Generation,"Yanhui Wang,



Jianmin Bao,



Wenming Weng,



Ruoyu Feng,



Dacheng Yin,



Tao Yang,



Jingxu Zhang,



Qi Dai,



Zhiyuan Zhao,



Chunyu Wang,



Kai Qiu,



Yuhui Yuan,



Xiaoyan Sun,



Chong Luo,



Baining Guo",,,
Learning Instance-Aware Correspondences for Robust Multi-Instance Point Cloud Registration in Cluttered Scenes,"Zhiyuan Yu,



Zheng Qin,



Lintao Zheng,



Kai Xu",,,
Structure Matters: Tackling the Semantic Discrepancy in Diffusion Models for Image Inpainting,"Haipeng Liu,



Yang Wang,



Biao Qian,



Meng Wang,



Yong Rui",,,
Modeling Multimodal Social Interactions: New Challenges and Baselines with Densely Aligned Representations,"Sangmin Lee,



Bolin Lai,



Fiona Ryan,



Bikram Boote,



James M. Rehg",,,
COCONut: Modernizing COCO Segmentation,"Xueqing Deng,



Qihang Yu,



Peng Wang,



Xiaohui Shen,



Liang-Chieh Chen",,,
Semantic Line Combination Detector,"Jinwon Ko,



Dongkwon Jin,



Chang-Su Kim",,,
Prompt-Driven Dynamic Object-Centric Learning for Single Domain Generalization,"Deng Li,



Aming Wu,



Yaowei Wang,



Yahong Han",,,
Dual Pose-invariant Embeddings: Learning Category and Object-specific Discriminative Representations for Recognition and Retrieval,"Rohan Sarkar,



Avinash Kak",,,
vid-TLDR: Training Free Token Merging for Light-weight Video Transformer,"Joonmyung Choi,



Sanghyeok Lee,



Jaewon Chu,



Minhyuk Choi,



Hyunwoo J. Kim",,,
DRESS: Instructing Large Vision-Language Models to Align and Interact with Humans via Natural Language Feedback,"Yangyi Chen,



Karan Sikka,



Michael Cogswell,



Heng Ji,



Ajay Divakaran",,,
Makeup Prior Models for 3D Facial Makeup Estimation and Applications,"Xingchao Yang,



Takafumi Taketomi,



Yuki Endo,



Yoshihiro Kanamori",,,
Salience DETR: Enhancing Detection Transformer with Hierarchical Salience Filtering Refinement,"Xiuquan Hou,



Meiqin Liu,



Senlin Zhang,



Ping Wei,



Badong Chen",,,
Towards More Unified In-context Visual Understanding,"Dianmo Sheng,



Dongdong Chen,



Zhentao Tan,



Qiankun Liu,



Qi Chu,



Jianmin Bao,



Tao Gong,



Bin Liu,



Shengwei Xu,



Nenghai Yu",,,
F3Loc: Fusion and Filtering for Floorplan Localization,"Changan Chen,



Rui Wang,



Christoph Vogel,



Marc Pollefeys",,,
ReconFusion: 3D Reconstruction with Diffusion Priors,"Rundi Wu,



Ben Mildenhall,



Philipp Henzler,



Keunhong Park,



Ruiqi Gao,



Daniel Watson,



Pratul P. Srinivasan,



Dor Verbin,



Jonathan T. Barron,



Ben Poole,



Aleksander Ho?y?ski",,,
I'M HOI: Inertia-aware Monocular Capture of 3D Human-Object Interactions,"Chengfeng Zhao,



Juze Zhang,



Jiashen Du,



Ziwei Shan,



Junye Wang,



Jingyi Yu,



Jingya Wang,



Lan Xu",,,
Dynamic Policy-Driven Adaptive Multi-Instance Learning for Whole Slide Image Classification,"Tingting Zheng,



Kui Jiang,



Hongxun Yao",,,
InternVL: Scaling up Vision Foundation Models and Aligning for Generic Visual-Linguistic Tasks,"Zhe Chen,



Jiannan Wu,



Wenhai Wang,



Weijie Su,



Guo Chen,



Sen Xing,



Muyan Zhong,



Qinglong Zhang,



Xizhou Zhu,



Lewei Lu,



Bin Li,



Ping Luo,



Tong Lu,



Yu Qiao,



Jifeng Dai",,,
Multi-View Attentive Contextualization for Multi-View 3D Object Detection,"Xianpeng Liu,



Ce Zheng,



Ming Qian,



Nan Xue,



Chen Chen,



Zhebin Zhang,



Chen Li,



Tianfu Wu",,,
MemSAM: Taming Segment Anything Model for Echocardiography Video Segmentation,"Xiaolong Deng,



Huisi Wu,



Runhao Zeng,



Jing Qin",,,
LiDAR4D: Dynamic Neural Fields for Novel Space-time View LiDAR Synthesis,"Zehan Zheng,



Fan Lu,



Weiyi Xue,



Guang Chen,



Changjun Jiang",,,
Exploiting Diffusion Prior for Generalizable Dense Prediction,"Hsin-Ying Lee,



Hung-Yu Tseng,



Hsin-Ying Lee,



Ming-Hsuan Yang",,,
PI3D: Efficient Text-to-3D Generation with Pseudo-Image Diffusion,"Ying-Tian Liu,



Yuan-Chen Guo,



Guan Luo,



Heyi Sun,



Wei Yin,



Song-Hai Zhang",,,
Orthogonal Adaptation for Modular Customization of Diffusion Models,"Ryan Po,



Guandao Yang,



Kfir Aberman,



Gordon Wetzstein",,,
pixelSplat: 3D Gaussian Splats from Image Pairs for Scalable Generalizable 3D Reconstruction,"David Charatan,



Sizhe Lester Li,



Andrea Tagliasacchi,



Vincent Sitzmann",,,
VBench: Comprehensive Benchmark Suite for Video Generative Models,"Ziqi Huang,



Yinan He,



Jiashuo Yu,



Fan Zhang,



Chenyang Si,



Yuming Jiang,



Yuanhan Zhang,



Tianxing Wu,



Qingyang Jin,



Nattapol Chanpaisit,



Yaohui Wang,



Xinyuan Chen,



Limin Wang,



Dahua Lin,



Yu Qiao,



Ziwei Liu",,,
Language-conditioned Detection Transformer,"Jang Hyun Cho,



Philipp Krähenbühl",,,
Optimizing Diffusion Noise Can Serve As Universal Motion Priors,"Korrawe Karunratanakul,



Konpat Preechakul,



Emre Aksan,



Thabo Beeler,



Supasorn Suwajanakorn,



Siyu Tang",,,
MAP: MAsk-Pruning for Source-Free Model Intellectual Property Protection,"Boyang Peng,



Sanqing Qu,



Yong Wu,



Tianpei Zou,



Lianghua He,



Alois Knoll,



Guang Chen,



Changjun Jiang",,,
Improving Single Domain-Generalized Object Detection: A Focus on Diversification and Alignment,"Muhammad Sohail Danish,



Muhammad Haris Khan,



Muhammad Akhtar Munir,



M. Saquib Sarfraz,



Mohsen Ali",,,
OVFoodSeg: Elevating Open-Vocabulary Food Image Segmentation via Image-Informed Textual Representation,"Xiongwei Wu,



Sicheng Yu,



Ee-Peng Lim,



Chong-Wah Ngo",,,
XFeat: Accelerated Features for Lightweight Image Matching,"Guilherme Potje,



Felipe Cadar,



André Araujo,



Renato Martins,



Erickson R. Nascimento",,,
Visual Prompting for Generalized Few-shot Segmentation: A Multi-scale Approach,"Mir Rayat Imtiaz Hossain,



Mennatullah Siam,



Leonid Sigal,



James J. Little",,,
ARTrackV2: Prompting Autoregressive Tracker Where to Look and How to Describe,"Yifan Bai,



Zeyang Zhao,



Yihong Gong,



Xing Wei",,,
A Vision Check-up for Language Models,"Pratyusha Sharma,



Tamar Rott Shaham,



Manel Baradad,



Stephanie Fu,



Adrian Rodriguez-Munoz,



Shivam Duggal,



Phillip Isola,



Antonio Torralba",,,
Memory-based Adapters for Online 3D Scene Perception,"Xiuwei Xu,



Chong Xia,



Ziwei Wang,



Linqing Zhao,



Yueqi Duan,



Jie Zhou,



Jiwen Lu",,,
SyncMask: Synchronized Attentional Masking for Fashion-centric Vision-Language Pretraining,"Chull Hwan Song,



Taebaek Hwang,



Jooyoung Yoon,



Shunghyun Choi,



Yeong Hyeon Gu",,,
A Study of Dropout-Induced Modality Bias on Robustness to Missing Video Frames for Audio-Visual Speech Recognition,"Yusheng Dai,



Hang Chen,



Jun Du,



Ruoyu Wang,



Shihao Chen,



Haotian Wang,



Chin-Hui Lee",,,
A Conditional Denoising Diffusion Probabilistic Model for Point Cloud Upsampling,"Wentao Qu,



Yuantian Shao,



Lingwu Meng,



Xiaoshui Huang,



Liang Xiao",,,
VideoRF: Rendering Dynamic Radiance Fields as 2D Feature Video Streams,"Liao Wang,



Kaixin Yao,



Chengcheng Guo,



Zhirui Zhang,



Qiang Hu,



Jingyi Yu,



Lan Xu,



Minye Wu",,,
DPHMs: Diffusion Parametric Head Models for Depth-based Tracking,"Jiapeng Tang,



Angela Dai,



Yinyu Nie,



Lev Markhasin,



Justus Thies,



Matthias Nießner",,,
DetDiffusion: Synergizing Generative and Perceptive Models for Enhanced Data Generation and Perception,"Yibo Wang,



Ruiyuan Gao,



Kai Chen,



Kaiqiang Zhou,



Yingjie Cai,



Lanqing Hong,



Zhenguo Li,



Lihui Jiang,



Dit-Yan Yeung,



Qiang Xu,



Kai Zhang",,,
GAFusion: Adaptive Fusing LiDAR and Camera with Multiple Guidance for 3D Object Detection,"Xiaotian Li,



Baojie Fan,



Jiandong Tian,



Huijie Fan",,,
Perception-Oriented Video Frame Interpolation via Asymmetric Blending,"Guangyang Wu,



Xin Tao,



Changlin Li,



Wenyi Wang,



Xiaohong Liu,



Qingqing Zheng",,,
Countering Personalized Text-to-Image Generation with Influence Watermarks,"Hanwen Liu,



Zhicheng Sun,



Yadong Mu",,,
DUDF: Differentiable Unsigned Distance Fields with Hyperbolic Scaling,"Miguel Fainstein,



Viviana Siless,



Emmanuel Iarussi",,,
PromptAD: Learning Prompts with only Normal Samples for Few-Shot Anomaly Detection,"Xiaofan Li,



Zhizhong Zhang,



Xin Tan,



Chengwei Chen,



Yanyun Qu,



Yuan Xie,



Lizhuang Ma",,,
Improving Graph Contrastive Learning via Adaptive Positive Sampling,"Jiaming Zhuo,



Feiyang Qin,



Can Cui,



Kun Fu,



Bingxin Niu,



Mengzhu Wang,



Yuanfang Guo,



Chuan Wang,



Zhen Wang,



Xiaochun Cao,



Liang Yang",,,
UFC-Net: Unrolling Fixed-point Continuous Network for Deep Compressive Sensing,"Xiaoyang Wang,



Hongping Gan",,,
ECoDepth: Effective Conditioning of Diffusion Models for Monocular Depth Estimation,"Suraj Patni,



Aradhye Agarwal,



Chetan Arora",,,
DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision,"Lu Ling,



Yichen Sheng,



Zhi Tu,



Wentian Zhao,



Cheng Xin,



Kun Wan,



Lantao Yu,



Qianyu Guo,



Zixun Yu,



Yawen Lu,



Xuanmao Li,



Xingpeng Sun,



Rohan Ashok,



Aniruddha Mukherjee,



Hao Kang,



Xiangrui Kong,



Gang Hua,



Tianyi Zhang,



Bedrich Benes,



Aniket Bera",,,
2S-UDF: A Novel Two-stage UDF Learning Method for Robust Non-watertight Model Reconstruction from Multi-view Images,"Junkai Deng,



Fei Hou,



Xuhui Chen,



Wencheng Wang,



Ying He",,,
DETRs Beat YOLOs on Real-time Object Detection,"Yian Zhao,



Wenyu Lv,



Shangliang Xu,



Jinman Wei,



Guanzhong Wang,



Qingqing Dang,



Yi Liu,



Jie Chen",,,
UniVS: Unified and Universal Video Segmentation with Prompts as Queries,"Minghan Li,



Shuai Li,



Xindong Zhang,



Lei Zhang",,,
Bilateral Adaptation for Human-Object Interaction Detection with Occlusion-Robustness,"Guangzhi Wang,



Yangyang Guo,



Ziwei Xu,



Mohan Kankanhalli",,,
An Asymmetric Augmented Self-Supervised Learning Method for Unsupervised Fine-Grained Image Hashing,"Feiran Hu,



Chenlin Zhang,



Jiangliang Guo,



Xiu-Shen Wei,



Lin Zhao,



Anqi Xu,



Lingyan Gao",,,
Efficiently Assemble Normalization Layers and Regularization for Federated Domain Generalization,"Khiem Le,



Long Ho,



Cuong Do,



Danh Le-Phuoc,



Kok-Seng Wong",,,
Exploring Pose-Aware Human-Object Interaction via Hybrid Learning,"Eastman Z Y Wu,



Yali Li,



Yuan Wang,



Shengjin Wang",,,
Depth Information Assisted Collaborative Mutual Promotion Network for Single Image Dehazing,"Yafei Zhang,



Shen Zhou,



Huafeng Li",,,
Density-Adaptive Model Based on Motif Matrix for Multi-Agent Trajectory Prediction,"Di Wen,



Haoran Xu,



Zhaocheng He,



Zhe Wu,



Guang Tan,



Peixi Peng",,,
Contrastive Learning for DeepFake Classification and Localization via Multi-Label Ranking,"Cheng-Yao Hong,



Yen-Chi Hsu,



Tyng-Luh Liu",,,
Unlocking the Potential of Pre-trained Vision Transformers for Few-Shot Semantic Segmentation through Relationship Descriptors,"Ziqin Zhou,



Hai-Ming Xu,



Yangyang Shu,



Lingqiao Liu",,,
CustomListener: Text-guided Responsive Interaction for User-friendly Listening Head Generation,"Xi Liu,



Ying Guo,



Cheng Zhen,



Tong Li,



Yingying Ao,



Pengfei Yan",,,
Projecting Trackable Thermal Patterns for Dynamic Computer Vision,"Mark Sheinin,



Aswin C. Sankaranarayanan,



Srinivasa G. Narasimhan",,,
SG-PGM: Partial Graph Matching Network with Semantic Geometric Fusion for 3D Scene Graph Alignment and Its Downstream Tasks,"Yaxu Xie,



Alain Pagani,



Didier Stricker",,,
Fun with Flags: Robust Principal Directions via Flag Manifolds,"Nathan Mankovich,



Gustau Camps-Valls,



Tolga Birdal",,,
Generating Non-Stationary Textures using Self-Rectification,"Yang Zhou,



Rongjun Xiao,



Dani Lischinski,



Daniel Cohen-Or,



Hui Huang",,,
SPU-PMD: Self-Supervised Point Cloud Upsampling via Progressive Mesh Deformation,"Yanzhe Liu,



Rong Chen,



Yushi Li,



Yixi Li,



Xuehou Tan",,,
Advancing Saliency Ranking with Human Fixations: Dataset Models and Benchmarks,"Bowen Deng,



Siyang Song,



Andrew P. French,



Denis Schluppeck,



Michael P. Pound",,,
Snap Video: Scaled Spatiotemporal Transformers for Text-to-Video Synthesis,"Willi Menapace,



Aliaksandr Siarohin,



Ivan Skorokhodov,



Ekaterina Deyneka,



Tsai-Shien Chen,



Anil Kag,



Yuwei Fang,



Aleksei Stoliar,



Elisa Ricci,



Jian Ren,



Sergey Tulyakov",,,
Unsupervised Deep Unrolling Networks for Phase Unwrapping,"Zhile Chen,



Yuhui Quan,



Hui Ji",,,
Federated Generalized Category Discovery,"Nan Pu,



Wenjing Li,



Xingyuan Ji,



Yalan Qin,



Nicu Sebe,



Zhun Zhong",,,
